Country,Region,Source,Share_pct,TWh
United States,North America,Coal,10,1015
United States,North America,Oil,35,3220
United States,North America,Natural Gas,34,3083
United States,North America,Nuclear,9,798
United States,North America,Hydro,3,339
United States,North America,Wind,4,413
United States,North America,Solar,3,325
United States,North America,Other Renewables,2,229
China,Asia,Coal,58,6929.1
China,Asia,Oil,18,1620
China,Asia,Natural Gas,10,872
China,Asia,Nuclear,4,394
China,Asia,Hydro,6,488
China,Asia,Wind,2,223
China,Asia,Solar,2,231
Germany,Europe,Coal,5,537
Germany,Europe,Oil,15,1361
Germany,Europe,Natural Gas,27,2293
Germany,Europe,Nuclear,5,476
Germany,Europe,Hydro,4,453
Germany,Europe,Wind,25,2348
Germany,Europe,Solar,10,814
Germany,Europe,Other Renewables,9,819
France,Europe,Coal,1,120
France,Europe,Oil,8,857
France,Europe,Natural Gas,10,1160
France,Europe,Nuclear,62,6882
France,Europe,Hydro,7,711
France,Europe,Wind,4,344
France,Europe,Solar,4,376
France,Europe,Other Renewables,4,413
United Kingdom,Europe,Coal,2,230
United Kingdom,Europe,Oil,25,2269
United Kingdom,Europe,Natural Gas,37,3139
United Kingdom,Europe,Nuclear,8,819
United Kingdom,Europe,Hydro,2,174
United Kingdom,Europe,Wind,17,1775
United Kingdom,Europe,Solar,4,362
United Kingdom,Europe,Other Renewables,5,446
India,Asia,Coal,45,4319
India,Asia,Oil,25,2593
India,Asia,Natural Gas,10,1018
India,Asia,Nuclear,2,180
India,Asia,Hydro,10,1156
India,Asia,Wind,5,422
India,Asia,Solar,3,245
Brazil,Latin America,Coal,3,312
Brazil,Latin America,Oil,35,2973
Brazil,Latin America,Natural Gas,9,902
Brazil,Latin America,Nuclear,1,118
Brazil,Latin America,Hydro,45,4857
Brazil,Latin America,Wind,4,419
Brazil,Latin America,Solar,2,206
Brazil,Latin America,Other Renewables,1,87
Australia,Oceania,Coal,30,2919
Australia,Oceania,Oil,28,2624
Australia,Oceania,Natural Gas,22,2599
Australia,Oceania,Hydro,5,448
Australia,Oceania,Wind,10,989
Australia,Oceania,Solar,5,588
Japan,Asia,Coal,30,3347
Japan,Asia,Oil,25,2965
Japan,Asia,Natural Gas,30,3130
Japan,Asia,Nuclear,6,560
Japan,Asia,Hydro,4,452
Japan,Asia,Wind,3,275
Japan,Asia,Solar,2,173
South Korea,Asia,Coal,25,2706
South Korea,Asia,Oil,22,2322
South Korea,Asia,Natural Gas,28,3224
South Korea,Asia,Nuclear,20,2370
South Korea,Asia,Hydro,1,114
South Korea,Asia,Wind,2,165
South Korea,Asia,Solar,2,213
Norway,Europe,Oil,20,2228
Norway,Europe,Natural Gas,10,1193
Norway,Europe,Hydro,65,6174
Norway,Europe,Wind,3,260
Norway,Europe,Solar,2,228
Saudi Arabia,Middle East,Oil,55,5098
Saudi Arabia,Middle East,Natural Gas,44,4573
Saudi Arabia,Middle East,Wind,1,96
South Africa,Africa,Coal,70,6727
South Africa,Africa,Oil,13,1421
South Africa,Africa,Natural Gas,5,472
South Africa,Africa,Nuclear,3,323
South Africa,Africa,Hydro,5,403
South Africa,Africa,Wind,2,186
South Africa,Africa,Solar,2,186
Canada,North America,Coal,5,550
Canada,North America,Oil,25,2315
Canada,North America,Natural Gas,9,948
Canada,North America,Nuclear,12,1290
Canada,North America,Hydro,44,4679
Canada,North America,Wind,3,312
Canada,North America,Solar,2,193
Mexico,Latin America,Coal,10,949
Mexico,Latin America,Oil,40,4103
Mexico,Latin America,Natural Gas,38,3137
Mexico,Latin America,Nuclear,1,115
Mexico,Latin America,Hydro,7,791
Mexico,Latin America,Wind,2,188
Mexico,Latin America,Solar,2,205
